,overall_epoch,sub_epoch,loss,acc
0,0,1999,1.3938859701156616,0.5
1,1,1999,1.3866608142852783,0.50075
2,2,1999,1.380990743637085,0.5
3,3,1999,1.3720614910125732,0.52275
4,4,1999,1.367757797241211,0.56325
5,5,1999,1.364577293395996,0.606
6,6,1999,1.3575057983398438,0.64475
7,7,1999,1.3548879623413086,0.64825
8,8,1999,1.3526830673217773,0.64325
9,9,1999,1.3461498022079468,0.65875
10,10,1999,1.345463514328003,0.64425
11,11,1999,1.3399534225463867,0.65875
12,12,1999,1.3382585048675537,0.6505
13,13,1999,1.3328968286514282,0.65875
14,14,1999,1.3266394138336182,0.67025
15,15,1999,1.3252501487731934,0.6635
16,16,1999,1.3191195726394653,0.66625
17,17,1999,1.3209633827209473,0.66425
18,18,1999,1.31844961643219,0.6645
19,19,1999,1.3101227283477783,0.66775
20,20,1999,1.307551383972168,0.6685
21,21,1999,1.3031797409057617,0.66475
22,22,1999,1.3004772663116455,0.6665
23,23,1999,1.2944414615631104,0.67625
24,24,1999,1.2963244915008545,0.661
25,25,1999,1.2943296432495117,0.65475
26,26,1999,1.295231580734253,0.65675
27,27,1999,1.2887978553771973,0.6605
28,28,1999,1.2879053354263306,0.66275
29,29,1999,1.2904711961746216,0.658
30,30,1999,1.2877576351165771,0.651
31,31,1999,1.2862155437469482,0.6545
32,32,1999,1.2781457901000977,0.6625
33,33,1999,1.2714003324508667,0.66775
34,34,1999,1.2804176807403564,0.654
35,35,1999,1.2847864627838135,0.64475
36,36,1999,1.2844682931900024,0.6365
37,37,1999,1.2920916080474854,0.6415
38,38,1999,1.2802319526672363,0.6515
39,39,1999,1.2920870780944824,0.63875
40,40,1999,1.2880735397338867,0.641
41,41,1999,1.2960973978042603,0.6325
42,42,1999,1.3043712377548218,0.62075
43,43,1999,1.296149730682373,0.633
44,44,1999,1.3081257343292236,0.6215
45,45,1999,1.311417579650879,0.62225
46,46,1999,1.3245646953582764,0.59275
47,47,1999,1.3334834575653076,0.59575
48,48,1999,1.3401789665222168,0.588
49,49,1999,1.3546557426452637,0.5715
50,50,1999,1.361191749572754,0.57225
51,51,1999,1.3809869289398193,0.554
52,52,1999,1.3937032222747803,0.5485
53,53,1999,1.4014652967453003,0.53975
54,54,1999,1.3999416828155518,0.53775
55,55,1999,1.43131422996521,0.51325
56,56,1999,1.443909764289856,0.504
57,57,1999,1.440549373626709,0.49925
58,58,1999,1.4481630325317383,0.49975
59,59,1999,1.434755802154541,0.50375
