ID,auc,recall,accuracy,f1,precision

1,0.6829283571783886,0.6069482288828338,0.6338555858310627,0.6237311865593279,0.6414686825053996
2,0.6095236062336198,0.7268392370572208,0.5756130790190735,0.6313609467455622,0.5580543933054394
3,0.7277213618038593,0.5722070844686649,0.6604223433242506,0.6275681733283526,0.6947890818858561
4,0.7255070013141385,0.6198910081743869,0.6573569482288828,0.6440198159943383,0.6701030927835051
5,0.6859626621327652,0.5831062670299727,0.6563351498637602,0.6291804483645719,0.6831604150039904
6,0.6729693033581063,0.7445504087193461,0.6396457765667575,0.6738594327990136,0.6154279279279279
7,0.7028246553170636,0.6566757493188011,0.6522479564032697,0.6537809426924381,0.6509115462525321
8,0.6791905797800861,0.7104904632152589,0.635899182561308,0.6611727416798733,0.6182572614107884
9,0.7352822984802025,0.6777929155313351,0.6522479564032697,0.6609099966788442,0.6448476992871031
10,0.7149252166101167,0.8092643051771117,0.651566757493188,0.6990291262135923,0.615225271879855
11,0.603868912828813,0.7581743869209809,0.5851498637602179,0.646341463414634,0.5632591093117408
12,0.7335918300677858,0.7186648501362398,0.6679155313351499,0.6839546191247974,0.6524427952999382
13,0.6758523338951214,0.6805177111716622,0.6413487738419619,0.6548672566371682,0.6310802274162982
14,0.6904046080229269,0.5933242506811989,0.6253405994550408,0.6129486277269528,0.63391557496361
15,0.7113582029712895,0.6955040871934605,0.6498637602179836,0.6651465798045603,0.6373283395755306
16,0.6268514875008352,0.5803814713896458,0.6052452316076294,0.595179881243451,0.610752688172043
17,0.7342614281789901,0.5354223433242506,0.6559945504087193,0.608830364058869,0.7055655296229802
18,0.6871737855355671,0.5946866485013624,0.6352179836512262,0.6198083067092652,0.6471460340993328
19,0.7340651426619842,0.7145776566757494,0.6634877384196185,0.6798444588464031,0.6483312731767614
20,0.6956600019303729,0.6818801089918256,0.6525885558583107,0.6624751819986763,0.6441441441441441
