ID,auc,recall,accuracy,f1,precision
1,0.8133226180188701,0.4698672114402451,0.8061769767231229,0.5632653061224491,0.7030056036678554
2,0.7868595221601643,0.27579162410623087,0.7898741056063763,0.41116751269035534,0.8075772681954138
3,0.7774949238382471,0.28975144705481787,0.7582646499411285,0.3893845801876001,0.5934449093444909
4,0.8275880106117913,0.5274089206673477,0.8191287021103161,0.6080471050049068,0.7177942539388322
5,0.5649105676259697,0.0,0.7339914862784168,0.0,0.0
6,0.741796423478101,0.24480762683009874,0.737795489538991,0.33187168243711057,0.5150429799426934
7,0.8181187547917252,0.5672454885938032,0.7911421066932343,0.5909897126640652,0.6168085894113291
8,0.7829146991393129,0.0,0.7339914862784168,0.0,0.0
9,0.8132628107331957,0.34797412325502214,0.7858889593333938,0.46370235934664245,0.6947654656696125
10,0.8201801629884031,0.43956418113721485,0.8002898288198532,0.539377480676833,0.6978378378378378
