ID,auc,recall,accuracy,f1,precision
1,0.3253572814038266,0.0,0.6666666666666666,0.0,0.0
2,0.1666284226997008,0.0,0.6666666666666666,0.0,0.0
3,0.4720075043247778,0.0,0.6666666666666666,0.0,0.0
4,0.8256821037723941,0.5054495912806539,0.8013169845594914,0.6290801186943621,0.8327721661054994
5,0.4957102790422734,0.0,0.6666666666666666,0.0,0.0
6,0.7061705473321316,0.0,0.6666666666666666,0.0,0.0
7,0.21197638781219827,0.0,0.6666666666666666,0.0,0.0
8,0.6748481822737828,0.0,0.6666666666666666,0.0,0.0
9,0.555513328415625,0.0,0.6666666666666666,0.0,0.0
10,0.3661325469637092,0.0,0.6666666666666666,0.0,0.0
11,0.541570518048465,0.0,0.6666666666666666,0.0,0.0
12,0.7465763846357435,0.5733741913517194,0.7158097832255136,0.5735694822888283,0.5737649063032368
13,0.727430535630258,0.6870956758597208,0.6290999886505505,0.5525739320920043,0.46210212960842684
