ID,auc,recall,accuracy,f1,precision
1,0.8906082779583808,0.6264896152536602,0.8544899738448125,0.6879790615068236,0.7628524046434494
2,0.8850274890637685,0.6183180115764385,0.8462946817785527,0.6732159406858202,0.7388120423108218
3,0.888890737680038,0.6615594143684032,0.8466434176111596,0.6883968113374668,0.7175036927621861
4,0.8991303406139661,0.613551242764726,0.866259808195292,0.7014402491241727,0.8187187641980918
5,0.8538683022004219,0.6496424923391215,0.8215344376634699,0.6508613337881629,0.6520847573479153
6,0.8500343216771309,0.5229826353421859,0.8220575414123801,0.6008214355564248,0.7058823529411765
7,0.8723969403011905,0.704119850187266,0.8333914559721012,0.6839755250537457,0.6649517684887459
8,0.8866792509490982,0.6172965611167859,0.8443766346992153,0.6701164294954722,0.732821341956346
9,0.8759343095509229,0.7589376915219612,0.8240627724498693,0.6883878937615812,0.629838937552981
10,0.8962419968125511,0.5812053115423902,0.8550130775937228,0.6724443569036832,0.7976635514018692
11,0.8963852061142347,0.6874361593462717,0.8434910906821019,0.7454310503968987,0.8141129032258064
12,0.8520258999307789,0.5301327885597549,0.8089887640449438,0.6491557223264541,0.8370967741935483
13,0.8888233890012821,0.6458971739870616,0.836340937464533,0.7245989304812833,0.8251413658112222
14,0.8894018167698029,0.6704119850187266,0.8304392236976507,0.7249631811487482,0.7891783567134268
15,0.8728124921385645,0.49540347293156284,0.7994552264215186,0.6221937139191789,0.8362068965517241
16,0.8909080243622486,0.6697310180456247,0.8354329815003972,0.7306835066864783,0.8038414384961177
17,0.8965516222003581,0.6050391556009533,0.8318011576438543,0.7057188244638601,0.8465936160076227
18,0.8789719740472055,0.5808648280558393,0.8170468732266485,0.679140127388535,0.8174413033061811
19,0.8852747152232985,0.7279536942458291,0.8288503007604131,0.7392807745504841,0.7509659290481209
20,0.8519005227122889,0.5151515151515151,0.8021790943139258,0.6345145732858042,0.8258733624454149
