ID,auc,recall,accuracy,f1,precision
1,0.353881807365642,0.02247191011235955,0.4707184201566224,0.040728170317803146,0.21710526315789475
2,0.509351645015186,0.0,0.5,0.0,0.0
3,0.4965807899379189,0.0,0.5,0.0,0.0
4,0.6551021688114111,0.19713993871297242,0.5917602996254682,0.3256467941507312,0.9353796445880452
5,0.6176046424465471,0.0,0.5,0.0,0.0
6,0.5627282569645219,0.0,0.5,0.0,0.0
7,0.5858606725806689,0.0020429009193054137,0.5005107252298263,0.004073319755600815,0.6666666666666666
8,0.7028289807208905,0.0,0.4996595165134491,0.0,0.0
9,0.5091743895671315,0.0,0.5,0.0,0.0
10,0.5474420323096454,0.0,0.5,0.0,0.0
