ID,auc,recall,accuracy,f1,precision
1,0.786246281449462,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
2,0.7699868546334425,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
3,0.7727178709696569,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
4,0.771866798229113,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
5,0.7622866985953464,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
6,0.7711212815854378,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
7,0.761701167232093,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
8,0.7542997889499667,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
9,0.8044374975038722,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
10,0.7710397932110606,1.0,0.251004187676267,0.40128432846017215,0.251004187676267
